Albergo,Persons,Slaves,Slave per capita
Spinola,58,96,1.655172414
Doria,48,86,1.791666667
Cattaneo,40,55,1.375
Lomellini,36,71,1.972222222
Giustiniani,35,51,1.457142857
Grimaldi,33,56,1.696969697
Salvago,31,52,1.677419355
Maruffo,26,35,1.346153846
Gentile,25,42,1.68
de Marini,21,34,1.619047619
de Mari,20,23,1.15
Grillo,20,35,1.75
Vivaldi,19,29,1.526315789
Imperiale,18,22,1.222222222
Calvi,17,23,1.352941176
Lercari,17,34,2
Centurione,15,27,1.8
Negrone,15,26,1.733333333
Promontorio,15,38,2.533333333
Pinelli,15,22,1.466666667
Squarciafìco,15,20,1.333333333
Interiano,14,23,1.642857143
Castagna e Colonne,14,18,1.285714286
Cibo,13,14,1.076923077
Negro,12,20,1.666666667
Saoli,12,17,1.416666667
Cicala,12,12,1
Pallavicino,7,16,2.285714286
Savignone,7,9,1.285714286
Dentuto,7,9,1.285714286
Usodimare,7,9,1.285714286
Ricci,6,6,1
Pansano,6,10,1.666666667
Falamonica,5,7,1.4
Ardimento,5,6,1.2
Guisolfì,3,5,1.666666667
Camilla,3,5,1.666666667
Malloni,3,3,1
Marabotto,2,2,1
Ceba,1,1,1
